,data,epsp,config/sec,config/weight,config/saveFolder,config/simLabel
0,"epsp      0.101356
sec         apic_0
loc            0.5
weight      0.0001
dtype: object",0.10135559350020101,apic_0,0.0001,./grid_batch,grid_search_00000
1,"epsp      0.096081
sec         apic_1
loc            0.5
weight      0.0001
dtype: object",0.09608101780789001,apic_1,0.0001,./grid_batch,grid_search_00001
2,"epsp      0.07808
sec       apic_10
loc           0.5
weight     0.0001
dtype: object",0.078079560072524,apic_10,0.0001,./grid_batch,grid_search_00002
3,"epsp      0.010043
sec       apic_100
loc            0.5
weight      0.0001
dtype: object",0.010042918157992001,apic_100,0.0001,./grid_batch,grid_search_00003
4,"epsp      0.009263
sec       apic_101
loc            0.5
weight      0.0001
dtype: object",0.009262610596124,apic_101,0.0001,./grid_batch,grid_search_00004
5,"epsp      0.009263
sec       apic_102
loc            0.5
weight      0.0001
dtype: object",0.009262609359595001,apic_102,0.0001,./grid_batch,grid_search_00005
6,"epsp      0.012726
sec       apic_103
loc            0.5
weight      0.0001
dtype: object",0.012725562735425001,apic_103,0.0001,./grid_batch,grid_search_00006
7,"epsp      0.013208
sec       apic_104
loc            0.5
weight      0.0001
dtype: object",0.013208407136914001,apic_104,0.0001,./grid_batch,grid_search_00007
8,"epsp      0.012948
sec       apic_105
loc            0.5
weight      0.0001
dtype: object",0.012947692766204002,apic_105,0.0001,./grid_batch,grid_search_00008
9,"epsp      0.012384
sec       apic_106
loc            0.5
weight      0.0001
dtype: object",0.012383953523084001,apic_106,0.0001,./grid_batch,grid_search_00009
10,"epsp      0.009025
sec       apic_107
loc            0.5
weight      0.0001
dtype: object",0.009025416984073002,apic_107,0.0001,./grid_batch,grid_search_00010
11,"epsp      0.005941
sec       apic_108
loc            0.5
weight      0.0001
dtype: object",0.0059406309115810005,apic_108,0.0001,./grid_batch,grid_search_00011
12,"epsp      0.005683
sec       apic_109
loc            0.5
weight      0.0001
dtype: object",0.005682601795044,apic_109,0.0001,./grid_batch,grid_search_00012
13,"epsp      0.078123
sec        apic_11
loc            0.5
weight      0.0001
dtype: object",0.07812254972391401,apic_11,0.0001,./grid_batch,grid_search_00013
14,"epsp      0.005683
sec       apic_110
loc            0.5
weight      0.0001
dtype: object",0.005682602896115,apic_110,0.0001,./grid_batch,grid_search_00014
15,"epsp      0.006015
sec       apic_111
loc            0.5
weight      0.0001
dtype: object",0.006015491868097,apic_111,0.0001,./grid_batch,grid_search_00015
16,"epsp       0.01293
sec       apic_112
loc            0.5
weight      0.0001
dtype: object",0.012929894287609002,apic_112,0.0001,./grid_batch,grid_search_00016
17,"epsp      0.078449
sec       apic_113
loc            0.5
weight      0.0001
dtype: object",0.07844902122224001,apic_113,0.0001,./grid_batch,grid_search_00017
18,"epsp      0.096084
sec       apic_114
loc            0.5
weight      0.0001
dtype: object",0.09608402660843701,apic_114,0.0001,./grid_batch,grid_search_00018
19,"epsp      0.093831
sec       apic_115
loc            0.5
weight      0.0001
dtype: object",0.093831255959386,apic_115,0.0001,./grid_batch,grid_search_00019
20,"epsp      0.093458
sec       apic_116
loc            0.5
weight      0.0001
dtype: object",0.093458184720091,apic_116,0.0001,./grid_batch,grid_search_00020
21,"epsp      0.092717
sec       apic_117
loc            0.5
weight      0.0001
dtype: object",0.09271683503563101,apic_117,0.0001,./grid_batch,grid_search_00021
22,"epsp      0.089022
sec       apic_118
loc            0.5
weight      0.0001
dtype: object",0.08902162173653401,apic_118,0.0001,./grid_batch,grid_search_00022
23,"epsp      0.088269
sec       apic_119
loc            0.5
weight      0.0001
dtype: object",0.088269484133618,apic_119,0.0001,./grid_batch,grid_search_00023
24,"epsp      0.081149
sec        apic_12
loc            0.5
weight      0.0001
dtype: object",0.08114892335960601,apic_12,0.0001,./grid_batch,grid_search_00024
25,"epsp      0.090028
sec       apic_120
loc            0.5
weight      0.0001
dtype: object",0.090028199805729,apic_120,0.0001,./grid_batch,grid_search_00025
26,"epsp      0.090937
sec       apic_121
loc            0.5
weight      0.0001
dtype: object",0.090936518106474,apic_121,0.0001,./grid_batch,grid_search_00026
27,"epsp      0.093044
sec       apic_122
loc            0.5
weight      0.0001
dtype: object",0.093044254416611,apic_122,0.0001,./grid_batch,grid_search_00027
28,"epsp      0.07896
sec       apic_13
loc           0.5
weight     0.0001
dtype: object",0.07896010774581401,apic_13,0.0001,./grid_batch,grid_search_00028
29,"epsp      0.079488
sec        apic_14
loc            0.5
weight      0.0001
dtype: object",0.079487850288032,apic_14,0.0001,./grid_batch,grid_search_00029
30,"epsp      0.07768
sec       apic_15
loc           0.5
weight     0.0001
dtype: object",0.077679620534937,apic_15,0.0001,./grid_batch,grid_search_00030
31,"epsp      0.078871
sec        apic_16
loc            0.5
weight      0.0001
dtype: object",0.078871277839098,apic_16,0.0001,./grid_batch,grid_search_00031
32,"epsp      0.082374
sec        apic_17
loc            0.5
weight      0.0001
dtype: object",0.082373823752206,apic_17,0.0001,./grid_batch,grid_search_00032
33,"epsp      0.07491
sec       apic_18
loc           0.5
weight     0.0001
dtype: object",0.074909824953934,apic_18,0.0001,./grid_batch,grid_search_00033
34,"epsp      0.070146
sec        apic_19
loc            0.5
weight      0.0001
dtype: object",0.070145566923429,apic_19,0.0001,./grid_batch,grid_search_00034
35,"epsp      0.088489
sec         apic_2
loc            0.5
weight      0.0001
dtype: object",0.088488903855406,apic_2,0.0001,./grid_batch,grid_search_00035
36,"epsp      0.069571
sec        apic_20
loc            0.5
weight      0.0001
dtype: object",0.069571070727832,apic_20,0.0001,./grid_batch,grid_search_00036
37,"epsp      0.068393
sec        apic_21
loc            0.5
weight      0.0001
dtype: object",0.068393221735135,apic_21,0.0001,./grid_batch,grid_search_00037
38,"epsp      0.064142
sec        apic_22
loc            0.5
weight      0.0001
dtype: object",0.06414179414944901,apic_22,0.0001,./grid_batch,grid_search_00038
39,"epsp      0.065432
sec        apic_23
loc            0.5
weight      0.0001
dtype: object",0.06543175289007701,apic_23,0.0001,./grid_batch,grid_search_00039
40,"epsp      0.06908
sec       apic_24
loc           0.5
weight     0.0001
dtype: object",0.069079713527088,apic_24,0.0001,./grid_batch,grid_search_00040
41,"epsp      0.066985
sec        apic_25
loc            0.5
weight      0.0001
dtype: object",0.066984754859973,apic_25,0.0001,./grid_batch,grid_search_00041
42,"epsp      0.066405
sec        apic_26
loc            0.5
weight      0.0001
dtype: object",0.066405101203258,apic_26,0.0001,./grid_batch,grid_search_00042
43,"epsp      0.069094
sec        apic_27
loc            0.5
weight      0.0001
dtype: object",0.06909446410169501,apic_27,0.0001,./grid_batch,grid_search_00043
44,"epsp      0.067047
sec        apic_28
loc            0.5
weight      0.0001
dtype: object",0.06704684723712201,apic_28,0.0001,./grid_batch,grid_search_00044
45,"epsp      0.067083
sec        apic_29
loc            0.5
weight      0.0001
dtype: object",0.06708345091966801,apic_29,0.0001,./grid_batch,grid_search_00045
46,"epsp      0.09109
sec        apic_3
loc           0.5
weight     0.0001
dtype: object",0.091090398507446,apic_3,0.0001,./grid_batch,grid_search_00046
47,"epsp      0.068206
sec        apic_30
loc            0.5
weight      0.0001
dtype: object",0.068206058833013,apic_30,0.0001,./grid_batch,grid_search_00047
48,"epsp      0.065118
sec        apic_31
loc            0.5
weight      0.0001
dtype: object",0.065117516809735,apic_31,0.0001,./grid_batch,grid_search_00048
49,"epsp      0.063446
sec        apic_32
loc            0.5
weight      0.0001
dtype: object",0.063446066994799,apic_32,0.0001,./grid_batch,grid_search_00049
50,"epsp      0.062763
sec        apic_33
loc            0.5
weight      0.0001
dtype: object",0.06276330534305401,apic_33,0.0001,./grid_batch,grid_search_00050
51,"epsp      0.062962
sec        apic_34
loc            0.5
weight      0.0001
dtype: object",0.062961765002071,apic_34,0.0001,./grid_batch,grid_search_00051
52,"epsp      0.058335
sec        apic_35
loc            0.5
weight      0.0001
dtype: object",0.058334609568333,apic_35,0.0001,./grid_batch,grid_search_00052
53,"epsp      0.058474
sec        apic_36
loc            0.5
weight      0.0001
dtype: object",0.058473786033800004,apic_36,0.0001,./grid_batch,grid_search_00053
54,"epsp      0.053769
sec        apic_37
loc            0.5
weight      0.0001
dtype: object",0.053768997992065005,apic_37,0.0001,./grid_batch,grid_search_00054
